Model,Accuracy,F1_Macro,QWK,ROC_AUC,Specificity
Anchored_Prototype,0.8201634877384196,0.6461657304483548,0.9025246150555528,0.9490056954806751,0.953586994660278
Anchored_FiLM,0.8228882833787466,0.6537849627686289,0.8778281581817138,0.952446073925439,0.9543366002712798
Anchored_SpectralNorm,0.8147138964577657,0.5792608329484059,0.8606042668639783,0.9481800379517231,0.9509313999425789
Baseline_HybridCNNViT_Gate,0.7138964577656676,0.5070654634406465,0.6918288930112144,0.9099628570737966,0.9261409358906253
Anchored_Deformable,0.7138964577656676,0.4981136464184366,0.6873160454813025,0.9099975667829454,0.9252375847394807
