split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.03360956057278525,0.9866848753840901,0.9869270710421473,0.9867746217603965,0.9867499867839911,0.9868652681593815,0.9866848753840901,0.9866725549622871,0.9966668082533197,0.9997572725440866,0.9941562467316998
val,1.7305333402638878,0.819672131147541,0.7541673233199381,0.6242334058196127,0.6609232080295426,0.8207383781214213,0.819672131147541,0.8067305276018979,0.9514526022870357,0.8713963899363115,0.864557150615409
test,1.3502667606364154,0.8256130790190735,0.6806821450564429,0.6491683576568716,0.6578345950101101,0.820264071442079,0.8256130790190735,0.8185712756424871,0.9556490069365754,0.8972185885592697,0.9080446997971559
