epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,train_qwk,val_qwk,lr
1,1.1062246816237251,0.7048287857425669,0.5742574257425742,0.7513661202185792,0.5617633958700251,0.594570594251002,0.678625963137278,0.8137339055793992,9.997532801828658e-05
2,0.7157054566083487,0.7111612958986251,0.7224308637760328,0.7158469945355191,0.7144680346388894,0.5722181501530544,0.8399553424615951,0.7997480939555949,9.990133642141359e-05
3,0.5232018358107515,0.7344157861881568,0.8081256401502219,0.7431693989071039,0.8061126050464769,0.5951884287988939,0.8892907644418654,0.8083152751017427,9.977809823015401e-05
4,0.42654202500477145,0.73323323068723,0.8460225332878115,0.76775956284153,0.8457805556935704,0.6257107003843311,0.9106279080250957,0.8149712040835415,9.960573506572391e-05
5,0.34303295191093774,0.7791748572894133,0.8808467053601912,0.7950819672131147,0.879089307547362,0.6445387234558195,0.9334803136138647,0.8534737082914321,9.93844170297569e-05
6,0.3067201271973685,0.8327519424626084,0.8880163878456812,0.773224043715847,0.8870990420366978,0.6354967518922463,0.9395757586712927,0.809058485369879,9.911436253643445e-05
7,0.2612796243179695,0.8176321748827324,0.9085011949470809,0.7978142076502732,0.9085345648424044,0.647847300904856,0.949223201935047,0.8543996031207439,9.879583809693738e-05
8,0.22066580036132968,0.9430090553773557,0.9272789347900308,0.8005464480874317,0.9266516700228926,0.6336295174235832,0.9608006414197164,0.8335987452670878,9.842915805643157e-05
9,0.18153082563603198,0.9937631767955634,0.9337657903721407,0.7868852459016393,0.9336375284746309,0.6153677621283256,0.9640661623994021,0.825095700567981,9.801468428384717e-05
10,0.17551304552463715,1.1363242903693778,0.9419597132127006,0.7868852459016393,0.9414049945341855,0.6251734288036125,0.9718857776712045,0.8115605558601292,9.75528258147577e-05
11,0.18311335333136822,1.0498829368359404,0.9378627517924206,0.8087431693989071,0.938498082170064,0.670228018499454,0.9633164543583973,0.850905738906968,9.70440384477113e-05
12,0.1460529304277718,1.271167204516833,0.9481051553431206,0.8032786885245902,0.9475788857099567,0.6350083615728195,0.9718219649824058,0.8449024859189377,9.64888242944126e-05
13,0.14209789027084402,1.1296072737441036,0.9515192898600204,0.7896174863387978,0.950901481211937,0.6466004265143432,0.9780749948182329,0.8185245648584298,9.588773128419907e-05
14,0.13061183254775352,1.428831109909412,0.9522021167634005,0.8005464480874317,0.9519961443669487,0.6256980040007842,0.97641410581756,0.8540855755757173,9.5241352623301e-05
15,0.14267219697783765,1.212684837195391,0.9539091840218504,0.7868852459016393,0.9538086461314202,0.6263849062692262,0.9790529398661975,0.8465950262139647,9.455032620941843e-05
16,0.12092238218457108,1.1166963906236034,0.9590303857972005,0.7896174863387978,0.9588191253746077,0.6225561440403102,0.9762591279500398,0.8440778975018006,9.381533400219321e-05
17,0.12262839134324681,1.2044001700448208,0.9580061454421305,0.8032786885245902,0.9580550492132043,0.62324721650674,0.9756762380703473,0.8509357669289188,9.303710135019722e-05
18,0.11012088559178738,1.3250934892013424,0.9648344144759303,0.8060109289617486,0.9645690421702774,0.653054695379816,0.9793323690644086,0.8505598601190333,9.22163962751008e-05
19,0.08768308058126072,1.2747214856694957,0.9685899624445203,0.8005464480874317,0.9687620605618952,0.6281135644138554,0.9796203872811842,0.8430463671888175,9.135402871372814e-05
20,0.09576967823996087,1.2932969266599645,0.9689313758962103,0.8169398907103825,0.9692585070444597,0.6646303338533631,0.9828932362487938,0.8474062638477922,9.045084971874742e-05
21,0.0877863138767208,1.3864961706224035,0.9709798566063503,0.8060109289617486,0.9706523591049038,0.6518014708935682,0.9823372299456101,0.8515347207091101,8.950775061878456e-05
22,0.0934940133807871,1.3123477710400775,0.9689313758962103,0.8169398907103825,0.9687619457060599,0.6748236212730238,0.9835592450508263,0.8490501952982847,8.85256621387895e-05
23,0.07194699014331313,1.4908024170359626,0.9771252987367702,0.8060109289617486,0.9770795005208033,0.6365749844331654,0.9897940351231751,0.8474673144245195,8.750555348152302e-05
24,0.08864307566076904,1.74686714339126,0.9706384431546603,0.8032786885245902,0.970819964964338,0.6164322288055007,0.9857397651886192,0.8433016814561458,8.644843137107061e-05
25,0.07586155022208643,1.4504796631349242,0.9764424718333903,0.8114754098360656,0.9762930147190649,0.6475866180716691,0.9863739293165383,0.8375853800854169,8.53553390593274e-05
26,0.06780105487902331,1.3825073405041721,0.9747354045749402,0.8032786885245902,0.9746283072854827,0.6407742436313865,0.986289753806947,0.8453289893051916,8.422735529643446e-05
27,0.08191540766015812,1.7305333402638878,0.9733697507681802,0.819672131147541,0.9733201018664784,0.6609232080295426,0.987121421930083,0.864557150615409,8.306559326618262e-05
28,0.051746439001436786,1.338081551542699,0.9801980198019802,0.8087431693989071,0.9800082875168725,0.6240224806469321,0.9902237810433445,0.8330140409044655,8.187119948743451e-05
29,0.0602335605400555,1.536591012946895,0.9808808467053602,0.8169398907103825,0.9805513670146286,0.6670717037884271,0.988067305680499,0.8279731724067391,8.064535268264886e-05
30,0.05471077396067927,1.4187664738118322,0.9812222601570502,0.8087431693989071,0.9812110398973273,0.6545618512154434,0.9904369131514249,0.832911246413863,7.93892626146237e-05
31,0.06960246142233824,1.6408269128512816,0.9778081256401502,0.7978142076502732,0.9779835100050918,0.6388957854124472,0.9888487963479218,0.8262133783684558,7.810416889260657e-05
32,0.0628131782330322,1.5339725701535334,0.9832707408671901,0.7868852459016393,0.983358928738442,0.6020403702158212,0.9926426749675265,0.8269233457107049,7.679133974894987e-05
33,0.05270153915768088,1.5906769903631157,0.9784909525435302,0.8087431693989071,0.9788133180771508,0.6510212752955196,0.9891226566625927,0.8378930871179858,7.545207078751861e-05
34,0.052332385767396884,1.7079355899102049,0.9829293274155002,0.7978142076502732,0.9827834750412692,0.6262787020285342,0.9900131080461797,0.8501004630454999,7.40876837050858e-05
35,0.0666888272006223,1.6323674480771757,0.9798566063502901,0.825136612021858,0.9798965714760964,0.6779407634435831,0.990841050740903,0.8497747345344273,7.269952498697738e-05
36,0.060433942335649825,1.6085119498232023,0.9801980198019802,0.8060109289617486,0.979953830553184,0.6418103999913043,0.9903614398012442,0.8351597535657342,7.128896457825368e-05
