split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.02525621903072463,0.99078183680437,0.9906308265252445,0.990902231530076,0.990690715123358,0.9909536431723435,0.99078183680437,0.9907933835014067,0.9977151316549848,0.9998470760307981,0.9971766620537473
val,1.5357837149354279,0.7868852459016393,0.5967226643088712,0.5695607331469401,0.5775795059496248,0.7735360811957759,0.7868852459016393,0.7773732803235434,0.9451811737917616,0.9146198899846849,0.8574320927262103
test,1.2403223753300285,0.8174386920980926,0.6630290769968217,0.6465616183208506,0.653790196464545,0.8121268303395001,0.8174386920980926,0.8141836625212305,0.9536387719802455,0.9189989158510509,0.8986391686975658
