epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_roc_auc,train_qwk,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_roc_auc,val_qwk
1,1.4628505136584942,0.5093888699214749,0.3234710170615361,0.32468468292857267,0.31788136206235573,0.8719536473792756,0.7196961001197941,0.41241108748122446,1.993718575258724,0.592896174863388,0.34285823914560654,0.3747087087087087,0.3511469453885736,0.8827751018100514,0.7665495262240928,0.4106295880289377
2,1.3209054076496591,0.5838170023898942,0.38549813885482764,0.4030000564382684,0.37994839981236384,0.896335711187568,0.7841113707952876,0.4690886084889163,1.6842098190484802,0.5,0.23986645209471297,0.3273356114735425,0.26856671554252204,0.8746393365845959,0.7605696504399458,0.48763345452149887
3,1.288367883220554,0.597473540457494,0.40836837087753597,0.42055777662009,0.40310266701334907,0.9003541538569803,0.8033708421408781,0.5187672473309065,1.4421790532075642,0.5163934426229508,0.24944502513563288,0.38564978771875325,0.28407341254986684,0.8811388385956265,0.8071134997593633,0.506799735763974
4,1.2837387315239586,0.5858654831000342,0.4085809139703575,0.42691442341128283,0.3977541568461763,0.8986690742146498,0.805513169284632,0.5068018001107926,1.664110969324581,0.366120218579235,0.3749102870813397,0.33445645645645644,0.2682709267825437,0.8550221363741851,0.6791415011588521,0.2728684108386893
5,1.2402872144667187,0.6182997610105838,0.4359623736380378,0.454333185163064,0.4260707090344587,0.9061405964391653,0.8224280390322727,0.5774553627115262,1.5645787924365269,0.6366120218579235,0.3284197357598322,0.36028352490421456,0.3425047153967392,0.8920948382672298,0.7931041328540912,0.6124562666565623
6,1.2210215863696379,0.6223967224308637,0.4358610335344665,0.45107786713462106,0.42664686178120953,0.9060351696463345,0.8289602717474663,0.5722429018821107,1.402705141755401,0.5628415300546448,0.4226320157692706,0.44741368955162064,0.39354174277269766,0.8958634599754312,0.8154507642632648,0.5267195536570481
7,1.2174003138888936,0.6357118470467736,0.45994304136689496,0.47474582004861476,0.44618413693773373,0.9105274777030192,0.832115091456618,0.5969051132755524,1.359363600204551,0.6147540983606558,0.44596069732032373,0.47206668737703217,0.43481201905826855,0.90626436589946,0.8149899355963734,0.5514481932195235
8,1.1945164105150634,0.6404916353704336,0.461026485892768,0.48459886965008125,0.4522058244937619,0.9118473416823661,0.8391019936777544,0.622864870754578,1.3190121969890074,0.6366120218579235,0.4455125924777305,0.41769265817541684,0.415844866619185,0.9062872785890944,0.8094952720505786,0.5797523573927037
9,1.1933805470317653,0.6541481734380334,0.4661449931658158,0.4874909083834263,0.4610164993454913,0.9138857782299276,0.836891090106838,0.6158519065452852,1.3175013723269187,0.6639344262295082,0.383355119825708,0.41796996996997005,0.3968481605229588,0.9055611961058199,0.8296438389514973,0.5979487612820771
10,1.1852330585191908,0.6490269716626835,0.4668857027519281,0.4886557823528678,0.4576900879636554,0.9134350193704307,0.8421794515745008,0.622161129041527,1.280543394427482,0.6147540983606558,0.47688410879900245,0.4665370197783991,0.4349007357771869,0.9022135582543951,0.8304182488988305,0.5897945459837604
11,1.1784165614536086,0.6425401160805736,0.4617649198627741,0.4821076648628928,0.452566994576558,0.9125357934019467,0.8430429312935622,0.6282164745665519,1.3507067994341824,0.6311475409836066,0.4362410211083191,0.44852480066273176,0.43081220576410606,0.900685828640263,0.8398624242490438,0.6224737267582862
12,1.186334445965742,0.6510754523728235,0.46568582792361557,0.4913041223786509,0.46074746414370604,0.9132476182744153,0.8429895335418127,0.643651963150422,1.2401486231329664,0.6147540983606558,0.47948471989731367,0.48835331883607747,0.44175307775105577,0.9047935805845452,0.8244077604656818,0.609558352890975
13,1.1612073929389617,0.6561966541481734,0.4659570859630543,0.48782801714027774,0.4640822297567328,0.9145231589782826,0.8497054071864595,0.6372278654470103,1.2071807749284422,0.6502732240437158,0.4953022611561345,0.5164943564253909,0.4868274433441148,0.9126195075240722,0.8415808451366937,0.6386675004263545
14,1.1401785577511616,0.6507340389211335,0.47701757134802525,0.5028563534195956,0.46627651838982953,0.914377773207138,0.8560550153598768,0.639776328894712,1.2442390006748054,0.6366120218579235,0.4643168081612689,0.46338925132028574,0.44543421211592416,0.9060928358081435,0.8425881680226379,0.6398945025345579
15,1.1378827647733054,0.6466370775008535,0.4892953366626678,0.5190278528400177,0.4729429283577044,0.9147140211352495,0.8562292292853041,0.6464847868823391,1.2500092787820785,0.6311475409836066,0.4735052410901467,0.49893880086983533,0.4545196875498167,0.9073760353637607,0.8442241071413189,0.6798279132738763
16,1.0914846508117941,0.6609764424718334,0.4886128313675025,0.5277194572181274,0.48649970445402885,0.9174610761971959,0.8693376320578746,0.6797305022164539,1.281380956941615,0.6639344262295082,0.46240044630833754,0.4722245003624314,0.46136368610743156,0.9112511436256895,0.8452813128068971,0.6767552955980706
17,1.0582558522659098,0.6691703653123933,0.49591901690208384,0.5396081631624868,0.4972103207139704,0.9187810566564231,0.8773071170976519,0.6919383936571781,1.3948870819123065,0.6338797814207651,0.4835809178743961,0.4890386248317283,0.4548627380664314,0.9092750214173659,0.8404537345679663,0.6643179987164256
18,1.0597860043510392,0.6794127688630932,0.5033012409273993,0.5423934753978028,0.5037542744032051,0.9220363938580688,0.8800688147238482,0.7002102950387321,1.1655837968398965,0.6174863387978142,0.5162271320011258,0.5055563839701771,0.4659258473700388,0.9080158544887261,0.8641196942492136,0.6435036851221003
19,1.0111446800635675,0.6807784226698532,0.5259203351021844,0.5710839066599348,0.5155511492930754,0.9231184140844713,0.890597420908976,0.7203543535739181,1.1976430826499813,0.6420765027322405,0.4919586645468998,0.5232391011701356,0.47598559554069614,0.9072833423243122,0.8706594949839175,0.6954058915347061
20,1.0229949942624947,0.6845339706384431,0.5181708710884411,0.5577436110937614,0.516437441032765,0.9232563445666407,0.8883365536642934,0.7400365922978542,1.0767053463419929,0.6557377049180327,0.5120547342302068,0.5572237754996376,0.49458114477099047,0.9173519314200311,0.8794309055417315,0.6934627624053811
21,0.9735363411716162,0.701263229771253,0.5475620877607701,0.6025484253053579,0.5470448797414547,0.9283012602164307,0.897395239821037,0.7659771219890652,1.12154235540192,0.6967213114754098,0.5602096313585877,0.6039931655793725,0.5557195702206722,0.9252355716757885,0.8847646395226054,0.7435304311790081
22,0.9626307671831793,0.708091498805053,0.5441853530631164,0.5929306497440281,0.5500655201317108,0.9292397546963864,0.9013668719015712,0.762777670202271,1.2804789790690272,0.6612021857923497,0.5394016597503166,0.49455876566221396,0.47783583732869034,0.9148511097137038,0.8822486034547934,0.7186058431573552
23,0.9562245455566385,0.702628883578013,0.5396830010452878,0.5923184785467008,0.5424586243010157,0.927799773225825,0.9021611400744695,0.7664111458778207,1.1355790844380529,0.6885245901639344,0.5783181818181818,0.5546320803562181,0.5380238754965131,0.9221253540500026,0.8837631290666964,0.7305439212633373
24,0.9173612792404816,0.7244793444861728,0.5668989557560312,0.6194539389441289,0.5736745763964171,0.9334436051893297,0.9112710755367367,0.793248499585415,1.1903125399448833,0.6693989071038251,0.5369478560655031,0.5376207932070002,0.5131170941505683,0.9175414202664476,0.8870804877853182,0.7143284425997779
25,0.9297376743719089,0.7251621713895527,0.5671183956967438,0.617564618979886,0.5735874614228617,0.933366818389857,0.9085155301309665,0.777522345478399,1.1566190902001219,0.7076502732240437,0.5638999376735226,0.5731533602568085,0.5618391059586396,0.9243328664974133,0.8907231561414731,0.7601624439012403
26,0.8997855450908411,0.7231136906794128,0.5674901583805085,0.6218380404502256,0.5746050537694657,0.9329744549644508,0.9159997252340147,0.7860094366352491,1.2621296377129894,0.6939890710382514,0.5789337474120082,0.5395764730247489,0.5340203156367508,0.9216976318956294,0.8797942731589833,0.7360937694373926
27,0.8860052171604916,0.7497439399112324,0.5962018031265748,0.64987214157389,0.6071210480499021,0.9395605404027739,0.9202040030546078,0.8152474120742352,1.0623759441688412,0.7158469945355191,0.6000501462028256,0.5634553173863519,0.5609066895123868,0.9271370939259181,0.9001659335238378,0.7700588198089937
28,0.8698274384053363,0.7285763059064527,0.574647326235218,0.632490749267429,0.5850240425006968,0.9347327521439205,0.9201615948287681,0.793189911009849,1.190500432676305,0.7103825136612022,0.5882366804466252,0.5812424148286217,0.5624415632633277,0.9269810057217217,0.8910390827824914,0.7811982758987495
29,0.8476819496343632,0.7606691703653123,0.6066505655126649,0.6539162731519621,0.6190604878148643,0.9416536970519219,0.9244057299748375,0.8254665576842183,1.3441375337663244,0.6202185792349727,0.4911350724826956,0.5119258568913742,0.4770572376716629,0.908894239186141,0.8645003549476791,0.7089000238606538
30,0.817745995220368,0.7534994878798225,0.6031289595870784,0.6583147603580366,0.6151641827687776,0.9403667879365678,0.9303102946865867,0.8202531700053634,1.0755517463215063,0.7240437158469946,0.5788822727351179,0.5634105829967899,0.5630667937005278,0.9289209145022213,0.9001260806505386,0.7848954660100171
31,0.8288761820121404,0.7606691703653123,0.6143320226750607,0.6744152019330125,0.6284538521590668,0.9418955548739568,0.9284221415471319,0.8229173932279482,1.1497056621019957,0.7049180327868853,0.5750394630735077,0.5601710676193435,0.5521809612059739,0.9252899765831198,0.8818196155659379,0.7343387213488832
32,0.778658894395291,0.7661317855923523,0.6226018263646474,0.6829069580058011,0.6399605372233428,0.9429084262594192,0.9356358239439233,0.8279727510140752,1.140605925210838,0.7240437158469946,0.5608899297423887,0.5784637050843947,0.5665416999953359,0.9286445106797772,0.894692395512968,0.7542095531449089
33,0.7668071267302836,0.7743257084329123,0.6277033174667369,0.6775401959028657,0.6426803856162795,0.9450365125572269,0.9382011966748873,0.8343635268322107,1.0887580087276105,0.73224043715847,0.6135329749615465,0.5828514031272652,0.5900894932601943,0.9310987576252157,0.9033968751602973,0.7621278464671201
34,0.7554060512789283,0.7726186411744623,0.6322346086378355,0.6924743006464233,0.650829183717619,0.9445057221993945,0.9401194394134322,0.8382776669859076,1.1887918450141866,0.7103825136612022,0.5461420283914202,0.564635186911049,0.5533399946611433,0.9255984779097123,0.8873786567130925,0.7634902557934202
35,0.7414116575447833,0.7862751792420621,0.6467168461339285,0.7039630619153148,0.6640303527447442,0.9478063446216289,0.941974657154417,0.8462643700450461,1.4198859259079062,0.7295081967213115,0.6149679966142703,0.5741787304545924,0.5790279633049009,0.9286433467833468,0.8856974087063183,0.7673516543170925
36,0.739357042430651,0.7869580061454421,0.6475472351372996,0.6947379041958508,0.6640782250696036,0.9472545513518666,0.942724645956132,0.8481987840430798,1.311717035340481,0.7185792349726776,0.5952512994555121,0.5734399917158539,0.5727862805409388,0.9279398459437589,0.8897982806875431,0.7323865598526547
37,0.6576030760667723,0.797200409696142,0.6664355600743226,0.7267447251740571,0.6860917183091256,0.9505666119463638,0.9552683155725139,0.8604833536258926,1.3223462313250767,0.7240437158469946,0.583726301943966,0.5439745262503883,0.555538412998061,0.9293183964423332,0.8823727758187866,0.7184075360712687
38,0.6230561269676779,0.8214407647661318,0.6967483157729276,0.7615039748831924,0.7177884243355243,0.956808491566181,0.9591883252316592,0.876550678731723,1.165137018010916,0.7131147540983607,0.5818333965947728,0.5728727348037693,0.5701519978485561,0.927619163049197,0.8933290522678465,0.7114409607706149
39,0.5933956344528953,0.8282690337999317,0.708675066140127,0.7707774667624299,0.7310062259324253,0.9582944025622396,0.9626574886603567,0.8768086595981872,1.2904194248178618,0.7349726775956285,0.6003495270161937,0.5968607227917573,0.5907737352649133,0.9318405092527922,0.897876961933058,0.7754919459490581
40,0.561683056317079,0.8282690337999317,0.7132189918674763,0.7696036089008701,0.7332523382815967,0.957278038855722,0.9648525820809322,0.8829120499339244,1.737587954177231,0.7158469945355191,0.536456043956044,0.5131777984881433,0.5122886750782707,0.926627891385601,0.8718159706950207,0.7484124386252046
41,0.5570504842011259,0.8306589279617617,0.714023518179765,0.7726359427131515,0.7348402691354018,0.9583754768882271,0.9652555997990395,0.8871374984501866,1.4803971736157526,0.7131147540983607,0.5638976824951578,0.5213171792482137,0.5217711857668214,0.9263042500583181,0.890660446002135,0.7558918574680396
42,0.5317497391695046,0.8422669853192216,0.7303224203423051,0.7889569751461679,0.7519047527537485,0.9619640793433215,0.969523167411731,0.8928052532078334,1.5167842693016178,0.7459016393442623,0.5887139654198477,0.5542180801491147,0.5648232978259818,0.9330616288285116,0.8913864990192769,0.7874444709298547
43,0.4950378974597582,0.8603618982587914,0.7619354073685474,0.8174070314245474,0.7835146927105167,0.9654404144280162,0.9739408778405888,0.909553868298254,1.8699624590534982,0.7295081967213115,0.5746530649877506,0.5728514031272652,0.5704890839125121,0.9300796701829406,0.8809457659735023,0.7807208400340555
44,0.4900567360443644,0.8562649368385115,0.7570819034794964,0.8131666834893263,0.7788443877319258,0.9642667942188637,0.9727174300339471,0.8994015576040081,1.5060899648510042,0.7349726775956285,0.5910534749776047,0.5475300818059438,0.5624754429204005,0.9305269890028797,0.8920316126590982,0.7749270873369356
45,0.49894176238874965,0.8603618982587914,0.7635428972471003,0.8126641133579298,0.7827829855645435,0.9652970092314044,0.9738024550654384,0.899721641040934,1.7777496068204035,0.7513661202185792,0.5897085010566874,0.5645477891684789,0.5747182025275601,0.9344942398021763,0.8863451904677294,0.7881383119690905
46,0.44269552919473126,0.8740184363263913,0.7825887668041662,0.8388838561351802,0.805556250851866,0.9691417075333714,0.9774612594513213,0.9136763690676195,1.7238901325913727,0.7240437158469946,0.5940829262700513,0.5666505125815471,0.5724205130781533,0.9289241369432076,0.8865303889777598,0.7698461771423524
47,0.44031130272441044,0.8685558210993514,0.7754924899199633,0.828880127574517,0.7968962332226986,0.9677725605587737,0.9785057500508744,0.9119421712845989,1.6736662843839718,0.7240437158469946,0.5692230739744553,0.586644506575541,0.5709130461119012,0.9307743513289675,0.8932331406340348,0.7588411933720755
48,0.4118640264702885,0.8886992147490611,0.8080808753502762,0.8559458058468408,0.8286465339723798,0.9725154635575437,0.9810915512995452,0.9227027443303496,1.959529884525987,0.726775956284153,0.6113593380614657,0.5419548514031273,0.5517258701444657,0.9297376366968233,0.8812525621338139,0.7487934951572401
49,0.4038052938804768,0.8818709457152611,0.7952495346526176,0.8404036344419928,0.8143413886673787,0.970671319554959,0.9820458245558834,0.9148674572296279,2.0139541834429964,0.7185792349726776,0.5691127623286073,0.5303348866107486,0.5370399188564049,0.9259448404262217,0.8840757466612368,0.7821677921483347
50,0.393256129670892,0.890406282007511,0.8072972760874499,0.8538189083639913,0.8270938899715613,0.9730470363202597,0.9827080629559133,0.9289135175261364,1.9005778643602882,0.726775956284153,0.5664436832008769,0.5584053018535777,0.5615088366787695,0.9284859391692235,0.889450366280484,0.7799238964293747
51,0.3536732989593421,0.8934790030727211,0.8228180593179516,0.8660964210795503,0.8414652917034549,0.973087995926827,0.9856443549330995,0.9290135835247972,2.030754514730693,0.7622950819672131,0.6666066639896241,0.5842568085326706,0.6032786322659858,0.9365105127699083,0.8935892008705943,0.8038489210393653
52,0.4027199639479947,0.8907476954592011,0.8059667205329963,0.8562218423184416,0.8269556632958596,0.9732285865616198,0.9830452691503229,0.9163242596947592,2.067454173916676,0.7431693989071039,0.5769266188953349,0.5766275240758,0.5766134131293954,0.9344714702370048,0.8823598045493515,0.7799690315939856
53,0.34056862638280755,0.899624445203141,0.8251362188360535,0.8702911874893748,0.8445130097428318,0.9749070609489975,0.986950277673278,0.9322391779489234,1.9206944671484942,0.7431693989071039,0.5555202202770393,0.5403332297815056,0.5465369188202568,0.9332707946139951,0.8875480375858797,0.7951396599937455
54,0.3324972856465502,0.902014339364971,0.8336259482830692,0.8701018397409495,0.8498278939165301,0.9756238183440514,0.9871076174632171,0.9281024336453308,2.281472194390219,0.7349726775956285,0.5806066524366854,0.5898691104898002,0.5813791055812049,0.9316054400490827,0.8735384327777631,0.7791622934978107
55,0.31950420736452545,0.9091840218504609,0.8380319060920316,0.8847505497761586,0.8584855177965544,0.9777939124234415,0.9883221050263193,0.9412116274388679,2.2425103956232957,0.7513661202185792,0.6109321667227536,0.5700465983224605,0.5860561710547637,0.9337224764626196,0.8833458846078408,0.7953767702317025
56,0.3120500772387634,0.9081597814953909,0.8418136937913581,0.8782503134124818,0.8581506396425593,0.9768962642068025,0.9886068516623109,0.942761248293679,2.2112935540454637,0.7295081967213115,0.5490777813368142,0.5454290152221187,0.5463575834200075,0.9299443332113467,0.8713604512821489,0.7658971149894012
57,0.31563869796339744,0.9102082622055309,0.8418108338811526,0.8803931808137747,0.8588800456620757,0.9779093130718653,0.9891758359043636,0.9388240834008181,2.5423841997573935,0.7240437158469946,0.5927189330229539,0.5531517034275655,0.5642870307986587,0.9272258948940278,0.8852664768371094,0.7590486566679803
58,0.23553391417552685,0.9324001365653807,0.8855441206551976,0.9161044071192832,0.8996115167434816,0.9829225191789863,0.9932499885024116,0.9496561599659581,2.5101464380983445,0.7404371584699454,0.5653722900666824,0.5392204618411516,0.5478680151943586,0.9311309695516318,0.8882172201281484,0.801845002882817
59,0.22352071609837726,0.9395698190508706,0.8934228073363378,0.9212653979933491,0.906365550451393,0.9847038045787588,0.994420567177694,0.9583018068006852,3.141573491643687,0.7349726775956285,0.576841300775727,0.5291517034275655,0.5395538432859006,0.9291170331721184,0.8786076384492848,0.7820546817211205
60,0.22123910760912077,0.9446910208262206,0.8979693204417087,0.9267898009016641,0.91141729992474,0.9861819508970102,0.9939972347774357,0.9619651734349769,2.7199893114996736,0.7349726775956285,0.5697757740098228,0.5466275240758,0.5552611824245447,0.9306021622378505,0.87833506366577,0.7953627421894611
61,0.20408275776341053,0.9405940594059405,0.8958309545260461,0.9252312008417579,0.9095376996370526,0.9850057662294007,0.9946424797422893,0.9560519001626328,2.8993781655212567,0.7377049180327869,0.6251696690406369,0.5592805219012116,0.5755237608687548,0.9298534214959737,0.8819638159592568,0.7717561155101474
62,0.17970569789429988,0.9522021167634005,0.9154344237961244,0.9356517327364335,0.9250048953284742,0.9877959016622876,0.9958288791862685,0.9689439804117813,3.1345309364339693,0.7295081967213115,0.5666922761161971,0.5389218183700942,0.5466163333603217,0.9293276268622979,0.8704298210558159,0.782387696382688
63,0.2388945948660053,0.9446910208262206,0.8981332188540172,0.9279158784634871,0.9119981647591706,0.9861252701045153,0.9938331742925527,0.9625212882257309,3.009388970547035,0.7349726775956285,0.5639999246895798,0.5229278243761002,0.5354447046667161,0.9297802547385737,0.8743458612730297,0.7857457730756652
64,0.1627169281826792,0.9580061454421305,0.9261538797164803,0.943611260788078,0.9345395826531494,0.9895688562646037,0.9961370411945858,0.9743902242075617,3.242117245992025,0.73224043715847,0.5601206699220761,0.5243332297815055,0.534742081823239,0.9297981259738124,0.8720861961047038,0.7805765753857918
65,0.16263248485895546,0.9590303857972005,0.927234866647194,0.948452155797192,0.9373606681658048,0.9895012228494565,0.9965370315023051,0.9728243116720132,3.098653513225701,0.7459016393442623,0.5775479026102498,0.5460389354872113,0.5580403677695043,0.932703532678843,0.8753823855511567,0.7942654781032326
66,0.1393652707630862,0.9641515875725504,0.9386323692746616,0.9567481229177492,0.9472973027073663,0.9907503174276308,0.9974574550346755,0.9759745374390981,3.2602359518978763,0.7377049180327869,0.5614644091395042,0.5404620482551518,0.5473401218664377,0.9315055984429572,0.8754599721783587,0.7893093531315294
