epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,train_qwk,val_qwk,lr
1,1.10332311563176,0.7695724501635859,0.5192898600204848,0.726775956284153,0.49045672743108054,0.5515183357726232,0.5962162710446177,0.7800925086629753,9.997532801828658e-05
2,0.7033479543076557,0.664001731273255,0.7309662000682827,0.7650273224043715,0.7229541039759139,0.6215157494969021,0.83595788300305,0.8015736449822977,9.990133642141359e-05
3,0.554892694097446,0.7499503406690933,0.7835438716285421,0.7622950819672131,0.7854085546116526,0.6197742890521936,0.8684146542778983,0.813379563532531,9.977809823015401e-05
4,0.40432085018489256,0.8677776288546499,0.8508023216114715,0.773224043715847,0.8511353645766315,0.6215986271720818,0.9142032995729615,0.8271301719251842,9.960573506572391e-05
5,0.37799671949095676,1.1831962917651473,0.8774325708432912,0.7513661202185792,0.8781819462062177,0.6165909479488051,0.9341188027279179,0.813404818178828,9.93844170297569e-05
6,0.2846391789496553,1.4432851651612202,0.9057698873335609,0.7349726775956285,0.9042435640258855,0.6106652763104894,0.9527384693653821,0.8006260912589858,9.911436253643445e-05
7,0.3176766207935171,1.2025651724727906,0.902697166268351,0.7595628415300546,0.903444400749968,0.6184973907107507,0.9516600116969717,0.804412019415589,9.879583809693738e-05
8,0.2564509825347819,1.3614055312851245,0.9300102424035507,0.8060109289617486,0.9289484544978436,0.6609321935785983,0.9592534332216052,0.851476443189965,9.842915805643157e-05
9,0.22919282333847327,1.4842250059512883,0.9392284055991806,0.8142076502732241,0.9387206621344865,0.6693256307132114,0.9709858422234273,0.8590186492497178,9.801468428384717e-05
10,0.22596325773508733,1.5206308529943937,0.9416182997610106,0.8114754098360656,0.9416372056715533,0.6916847214797802,0.9712119103015359,0.8428143917761279,9.75528258147577e-05
11,0.19831359346855082,1.3307343139063075,0.9474223284397405,0.7868852459016393,0.9473070268014723,0.6313029628022255,0.9718819350707321,0.8489065694139671,9.70440384477113e-05
