split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.030183034173531652,0.9897575964493001,0.9899399371205251,0.9899634077168639,0.9898599004436441,0.989951793131275,0.9897575964493001,0.9897620778191878,0.9974401116747298,0.999822706914958,0.9956137812521278
val,2.634073059794848,0.8142076502732241,0.7008872265317867,0.6366581754167961,0.6576623986897747,0.8143932170402028,0.8142076502732241,0.808265579552961,0.951439281010608,0.9132699491472287,0.8747837651605318
test,2.124307389357616,0.8365122615803815,0.6942923346058963,0.6593003570595893,0.6735980024458607,0.8302607869987001,0.8365122615803815,0.8314178102142865,0.9582812900835161,0.9319294499627485,0.9092237625290178
