split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.04259076526597748,0.9856606350290201,0.9859065151017191,0.9858335284995976,0.9858406174352481,0.9857402152300068,0.9856606350290201,0.9856710984395739,0.9964030866013198,0.9996088327741595,0.99461717510486
val,1.1520122309200098,0.8169398907103825,0.6916815415821501,0.6579424251838045,0.6710447517176583,0.8164546640212521,0.8169398907103825,0.8138131674782956,0.9536355455286673,0.9171183450382292,0.8793842886501677
test,1.063519988097352,0.8256130790190735,0.7083969480369219,0.6816461259165534,0.6879898496835029,0.8276225658869429,0.8256130790190735,0.8224097712283377,0.9556554253621077,0.9313171994441675,0.8972993451783862
