scenario,split,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,qwk,roc_auc
Teachers_Student_Gate2,val,0.8365122615803815,0.6945374539160947,0.6810820608337328,0.6866521042927577,0.8338669387424712,0.8365122615803815,0.8346804720798994,0.9583878318700426,0.89756861321322,0.9442297496339578
Teachers_Student_Gate2,test,0.8528610354223434,0.7393989675516225,0.6903956628917374,0.7046263774341551,0.8493684844027554,0.8528610354223434,0.8475858852754034,0.962423480367349,0.917438962528396,0.9583208173060418
Teachers_Student_EqualWeight,val,0.8337874659400545,0.6930573038932173,0.684202971217801,0.6880048546208004,0.8318294256113239,0.8337874659400545,0.8325325907444775,0.9577943600599536,0.8951954362603238,0.9290288607006483
Teachers_Student_EqualWeight,test,0.8528610354223434,0.7393989675516225,0.6903956628917374,0.7046263774341551,0.8493684844027554,0.8528610354223434,0.8475858852754034,0.962423480367349,0.917438962528396,0.9453114980165938
