epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,train_qwk,val_qwk,lr
1,0.8203740899942971,0.7122351878164895,0.6654148173438034,0.73224043715847,0.6645665397211784,0.6013846397603203,0.7727354890303628,0.8153257824222225,9.997532801828658e-05
2,0.4940026105299195,0.6789480608994843,0.8118811881188119,0.8032786885245902,0.8132697523924561,0.6706023559851577,0.9056714166664744,0.8696339778021571,9.990133642141359e-05
3,0.3325545283230947,0.7649181615154111,0.8876749743939911,0.7950819672131147,0.8869832726994407,0.6379903231817574,0.9459834067311066,0.8514831396843002,9.977809823015401e-05
4,0.27070759676814016,1.011758002259163,0.9108910891089109,0.7923497267759563,0.9113350864101177,0.6704321987741677,0.949836632711897,0.8850951722321017,9.960573506572391e-05
5,0.22851347518746495,1.082277465755148,0.9388869921474906,0.7950819672131147,0.938111517186919,0.6603611736038614,0.9712933289263467,0.856756913911017,9.93844170297569e-05
6,0.19479010894397514,1.3903592348841778,0.9463980880846705,0.8060109289617486,0.9465807042346805,0.67603443989583,0.9773742304373118,0.8503213957759412,9.911436253643445e-05
7,0.1587135659663088,1.4456064810461424,0.9634687606691703,0.8114754098360656,0.9632493310058224,0.652144184678303,0.9837501870973073,0.8538792917967574,9.879583809693738e-05
8,0.1578295864886165,1.513882551995415,0.9634687606691703,0.76775956284153,0.9637618901019808,0.5808808882981353,0.9811240033684142,0.8575718010113598,9.842915805643157e-05
9,0.11538535245368374,1.5217742752640253,0.9675657220894504,0.8005464480874317,0.9672917565496876,0.6454587850494502,0.9878937356417157,0.8602738591883575,9.801468428384717e-05
10,0.1213966428727051,1.4064421614585412,0.9706384431546603,0.7923497267759563,0.9705144588960752,0.6199430402527231,0.982661615747118,0.85544446367473,9.75528258147577e-05
11,0.14098462665452519,1.3064692711825463,0.9634687606691703,0.8333333333333334,0.9632327489117232,0.7040207768989406,0.9858294852609618,0.8743527884764606,9.70440384477113e-05
12,0.09987019059296816,1.8079271773290972,0.9788323659952202,0.8114754098360656,0.9787389208418439,0.6344690927507745,0.9890531551870202,0.8524311859547198,9.64888242944126e-05
13,0.12533714970183435,1.698053874354563,0.9733697507681802,0.8087431693989071,0.9734226942771993,0.6553737956970399,0.9885470299361261,0.8585321226814262,9.588773128419907e-05
14,0.0928176672769482,1.6892727666755127,0.9771252987367702,0.7896174863387978,0.9770953199951287,0.6502475243667859,0.9911971163282136,0.8379382206380607,9.5241352623301e-05
15,0.09951251300739997,1.7397555366812905,0.9747354045749402,0.8087431693989071,0.9743728174848831,0.6738022102270566,0.9886328588977391,0.8591666940399713,9.455032620941843e-05
16,0.09807639514931257,1.8758315361880202,0.9767838852850802,0.8060109289617486,0.9771266718876394,0.6424584476756676,0.9896752688073304,0.8556223372972043,9.381533400219321e-05
17,0.06647564404941549,1.9238258545132727,0.9832707408671901,0.7841530054644809,0.9833097566834906,0.600217084793696,0.992750166573051,0.8512817553628875,9.303710135019722e-05
18,0.11836112343157304,1.5284602663722198,0.9716626835097303,0.8114754098360656,0.9719828676799083,0.6590359735310798,0.984011586833774,0.8722179319401991,9.22163962751008e-05
19,0.1425502072884126,1.2326525602753076,0.9689313758962103,0.8142076502732241,0.9686015171396931,0.6190008776546698,0.9870445954894256,0.8594036850921273,9.135402871372814e-05
20,0.0891921823477207,1.722539369403585,0.9805394332536702,0.7786885245901639,0.9804174047027348,0.6326038837547789,0.9912832895679308,0.8269212137429585,9.045084971874742e-05
21,0.11039954136407958,1.549473664417667,0.9747354045749402,0.7978142076502732,0.9748131082103386,0.6269857840703502,0.988506929207245,0.8590100078608051,8.950775061878456e-05
22,0.09288963721151063,1.5610440817144393,0.9767838852850802,0.8114754098360656,0.9766664443365443,0.6201439354242255,0.990157321498288,0.8629314266545968,8.85256621387895e-05
23,0.08441466568847886,1.713184397114475,0.9778081256401502,0.7896174863387978,0.9776832981443617,0.6020942346835011,0.9921666647965204,0.8631980916012361,8.750555348152302e-05
24,0.10489423398080022,1.5663141686655548,0.9750768180266303,0.8114754098360656,0.9750269702242639,0.6574736322726953,0.9887219247777626,0.8844764691824524,8.644843137107061e-05
