split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.24188045635263788,0.9283031751451007,0.930891745312692,0.9288952520378497,0.9286762521872737,0.9303831729267401,0.9283031751451007,0.9281292984673895,0.9820464820583116,0.9928364630231252,0.9722698963227613
val,1.011758002259163,0.7923497267759563,0.6628697778358219,0.6962323703013358,0.6704321987741677,0.8155585091093316,0.7923497267759563,0.8008938964430343,0.9497586902832105,0.9320435133473012,0.8850951722321017
test,0.8583092868026112,0.7901907356948229,0.651583442774454,0.6701627751624845,0.6478593526376505,0.8227050690688446,0.7901907356948229,0.802310792870727,0.950815732500031,0.9467051305238214,0.906201352261902
