epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1_macro,val_f1_macro,train_qwk,val_qwk,lr
1,1.0210558261916922,0.6468630227886263,0.5715261181290543,0.7568306010928961,0.5528162129405246,0.587126380890542,0.709457774855383,0.828490372478079,9.997532801828658e-05
2,0.6977230457365818,1.0203143788165734,0.7302833731649027,0.7158469945355191,0.7303270407589425,0.5376315246290015,0.8501514620575822,0.7928477371959248,9.990133642141359e-05
3,0.5547015634758068,0.963255046495323,0.800273130761352,0.7486338797814208,0.7968947881059674,0.5657274508700492,0.8843397320217384,0.7945037102232204,9.977809823015401e-05
4,0.4803451792819991,0.9197837179475795,0.8443154660293616,0.7650273224043715,0.8465211784354146,0.6131648338161828,0.9045240219215019,0.830736745218533,9.960573506572391e-05
5,0.38753021673225285,0.9245834904964606,0.8729941959713212,0.7950819672131147,0.8732275908969293,0.6222070133566644,0.9301704413089146,0.8480508883024667,9.93844170297569e-05
6,0.3530930756903185,1.0306899845422006,0.8876749743939911,0.7759562841530054,0.8856883581008281,0.6041440626069415,0.930409752793769,0.8275245755138516,9.911436253643445e-05
7,0.31084160851654885,1.2366281193836919,0.902697166268351,0.7540983606557377,0.9029118268429561,0.605399700457224,0.9509156236698285,0.8196638969015944,9.879583809693738e-05
8,0.26128411147766994,1.6071227549087344,0.9207920792079208,0.7622950819672131,0.9216761147634565,0.6157401704142936,0.951195273991387,0.7954799453619769,9.842915805643157e-05
9,0.2624121486103132,1.6837352259486789,0.9313758962103107,0.73224043715847,0.9310090299661482,0.568127371152636,0.9638024463230656,0.8138188000158553,9.801468428384717e-05
10,0.23417685787571776,1.5895054402443565,0.9358142710822807,0.7704918032786885,0.9355057873352223,0.567007007007007,0.9628394189766825,0.8387777339855795,9.75528258147577e-05
11,0.23434316548289205,1.4316158021323586,0.9378627517924206,0.76775956284153,0.9370877524140401,0.6128311123187122,0.9597339099553142,0.8146730205903092,9.70440384477113e-05
12,0.19684380290344752,1.5166428766462692,0.9481051553431206,0.7978142076502732,0.9480169977984041,0.6364311970341329,0.9701928888410972,0.8401333865627127,9.64888242944126e-05
13,0.19653926335422373,1.7070028813121774,0.9494708091498805,0.7814207650273224,0.9489999513710444,0.5678496542813487,0.9688188479595368,0.8339895285064998,9.588773128419907e-05
14,0.20083338915314988,1.46217799754847,0.9498122226015705,0.7759562841530054,0.9499778487095794,0.5891950465885627,0.9735252395115198,0.8438530929599057,9.5241352623301e-05
15,0.16095819591859195,2.0485830832928436,0.9566404916353705,0.8005464480874317,0.9567906394385405,0.6002824048538333,0.9766752439334471,0.8294518041425749,9.455032620941843e-05
16,0.16745653300199756,1.7969558742589715,0.9539091840218504,0.8005464480874317,0.9539403948328659,0.6227979554753049,0.972874682862857,0.8417100360968963,9.381533400219321e-05
