split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.038972740714338205,0.9887333560942301,0.9891745742302358,0.9887668743938388,0.9889277870231595,0.9888682086897765,0.9887333560942301,0.9887563067821072,0.9971611098060945,0.9998120660868082,0.9960699030969689
val,2.8350632943483456,0.8142076502732241,0.7229355158730159,0.614451278865072,0.6396169063760191,0.8195450060716454,0.8142076502732241,0.8057051825421219,0.9517773048874195,0.9184984799781816,0.8720074604030367
test,2.258424851316135,0.8446866485013624,0.7088786324786325,0.645737347699546,0.6662941120482332,0.8382437876988285,0.8446866485013624,0.8347741425090446,0.9594961116819102,0.9441385973648251,0.9056145150314421
