epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1_score,val_f1_score,train_specificity,val_specificity,train_roc_auc,val_roc_auc,train_qwk,val_qwk
1,0.9314522419544246,1.0836626386100596,0.6586178184845962,0.6686046511627907,0.5934972565137339,0.529855350435547,0.6586178184845962,0.6686046511627907,0.6007751091888016,0.5880017203189837,0.8942477252128775,0.8957714285714286,0.8539987910633002,0.8583789054198608,0.5300958394771704,0.5236133043821555
2,0.8282501744908213,0.8686752089045264,0.6940049958368026,0.6744186046511628,0.5870609695500536,0.5858638969807387,0.6940049958368026,0.6744186046511628,0.6280532708969745,0.6184667779040812,0.9056980806724326,0.898603421174295,0.8846807252201427,0.8873647831976249,0.6010295599199912,0.44197408347487543
3,0.8000453799370898,0.8795840929855,0.7077435470441299,0.686046511627907,0.6171549481884769,0.5851233631059686,0.7077435470441299,0.686046511627907,0.6531014032157335,0.6265141121107056,0.9135828719031288,0.8985989828941285,0.8935890495334168,0.8918744866387768,0.643356899985645,0.46271914693429506
4,0.8451636780966196,0.9142471389337019,0.6965029142381349,0.7122093023255814,0.605240196515902,0.5582315891472868,0.6965029142381349,0.7122093023255814,0.6401592253811342,0.6237896368606055,0.909404170511855,0.9094857142857142,0.8845801916396411,0.8969536716934471,0.6211198572653773,0.6055627966455992
5,0.8249501741879823,0.7687362649224021,0.7048293089092423,0.7354651162790697,0.6137916007502038,0.6492691322696378,0.7048293089092423,0.7354651162790697,0.6474709867436821,0.6888833631402392,0.9126730758111045,0.9247726306056403,0.8873787486813933,0.9036093883475717,0.6257110192317714,0.5960487518469053
6,0.7633838775931605,0.7809612358158285,0.7194004995836802,0.7354651162790697,0.6695444766378906,0.6694524013147727,0.7194004995836802,0.7354651162790697,0.6684061660948574,0.689111154907371,0.9185429174091917,0.9230887684396529,0.9025288752254919,0.9064316662098281,0.6666804330273695,0.6206820068568242
7,0.7548088322806832,0.7740940451622009,0.720233139050791,0.7296511627906976,0.6622662785606486,0.6295176202799038,0.720233139050791,0.7296511627906976,0.6743606396766545,0.6755539243911337,0.9201594861350731,0.9176462320850671,0.9039327336435514,0.9067350568819066,0.672979939409338,0.5814952226062208
8,0.7483595110327992,0.8512436855923046,0.7268942547876769,0.6976744186046512,0.6770144571023838,0.6980081020686701,0.7268942547876769,0.6976744186046512,0.6822333014993636,0.64818638593342,0.9211565323440126,0.911996396733689,0.9050615458362836,0.89023125946248,0.6717595543965552,0.5916573256590133
9,0.7395221575206479,0.791003705425696,0.7356369691923397,0.7412790697674418,0.6779635586372603,0.7244299305345817,0.7356369691923397,0.7412790697674418,0.6912892667247991,0.6749065146322503,0.924034162643599,0.9233745836985101,0.90808270980975,0.9135899234264513,0.6855096701836211,0.6766484552766387
10,0.7305468153085141,0.7330013296820901,0.7331390507910075,0.7383720930232558,0.6792772384890317,0.6734697067123924,0.7331390507910075,0.7383720930232558,0.6922099491924406,0.6934485160187311,0.9234564240824866,0.923661306581123,0.9100989033379331,0.9112341194690228,0.6991421261160391,0.6126472126880431
