split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.42971526416506367,0.8385114373506316,0.8474335166369921,0.8387517380921745,0.8324093190379196,0.8470981451018971,0.8385114373506316,0.8321950622761543,0.9595984396098105,0.9773252771570633,0.9299272287784697
val,0.6830465741496269,0.7622950819672131,0.6469206963249516,0.6918173345759552,0.628899062031784,0.8347239146157877,0.7622950819672131,0.7726883892653802,0.9454647919380601,0.9233934825118265,0.8631331051031266
test,0.6350915517241819,0.7384196185286104,0.6351901422170271,0.6685491382630085,0.6051099522592658,0.8308785223146059,0.7384196185286104,0.7547116136499842,0.9409961891300103,0.9390605043423517,0.886009672982207
