epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1_score,val_f1_score,train_specificity,val_specificity,train_roc_auc,val_roc_auc,train_qwk,val_qwk
1,10.753861754935317,2.8750935657457872,0.3913405495420483,0.6627906976744186,0.42100007013862084,0.5865820115780295,0.3913405495420483,0.6627906976744186,0.40451276686097914,0.5976517898228635,0.8278145203068309,0.9041142857142856,0.5921714741671272,0.8665121507174304,0.16613944508642475,0.6326556479415939
2,2.9995569886750735,1.5131996355273507,0.5233139050791007,0.6656976744186046,0.5388457449887686,0.5427368969107949,0.5233139050791007,0.6656976744186046,0.5307013829314935,0.5852280561065857,0.8703348355708602,0.8917293602103419,0.7637465155063188,0.8870024484416601,0.4104557285895043,0.5153425757999928
3,1.733143117451516,0.9944915656339038,0.5624479600333055,0.6686046511627907,0.5658437296624422,0.5509011627906978,0.5624479600333055,0.6686046511627907,0.5640424197134328,0.5903651433045667,0.8809742303058148,0.8945865030674847,0.7999509625638699,0.8616677376412405,0.48056295934494897,0.5300316637529493
4,1.116618965832603,0.6732256696982817,0.5628642797668609,0.7005813953488372,0.5634702449031969,0.6126365928831605,0.5628642797668609,0.7005813953488372,0.5630466710131776,0.6291722909997816,0.8806876118295422,0.9129865030674846,0.7983592278532824,0.879177118039506,0.47797014522496273,0.6496443121083384
5,0.6967206435981176,0.7287435707720843,0.6057452123230641,0.688953488372093,0.577936958686704,0.5892966516945691,0.6057452123230641,0.688953488372093,0.5824487200747667,0.6173648998750344,0.8869649396710948,0.9106285714285715,0.8025007840024819,0.8761101984036941,0.4867917336441866,0.6438138879097638
6,0.6236094069599316,0.5802228626879778,0.6207327227310575,0.6656976744186046,0.5925739399319316,0.6258359933120535,0.6207327227310575,0.6656976744186046,0.5903450300693575,0.6201257452478904,0.8912732617419034,0.908099703790812,0.8239662420179985,0.882831576856472,0.5500276897240666,0.5284004936416805
7,0.5718864181282505,0.5626008889891885,0.6477935054121565,0.6773255813953488,0.6082017431062765,0.6150967655058247,0.6477935054121565,0.6773255813953488,0.6187451807803934,0.612672442370461,0.9009000794288792,0.9079579316389133,0.847182701903754,0.878778071494446,0.5810271289248865,0.6207407779676349
8,0.5325311828550763,0.4916186861016534,0.6665278934221482,0.688953488372093,0.6331372775566809,0.616678769006846,0.6665278934221482,0.688953488372093,0.6381147275012342,0.6222021583760242,0.9064313800259685,0.9109678253051176,0.8619585844292896,0.8885687398372893,0.6227267537443009,0.6335770722507315
9,0.5021920592727646,0.4637969352982261,0.6923397169025812,0.7093023255813954,0.6693936632945967,0.6110589003580205,0.6923397169025812,0.7093023255813954,0.6552931492938153,0.6349971740150033,0.9128836127377029,0.9147007887817704,0.8704883794979811,0.8976741911155,0.6752008512228411,0.663820704375667
10,0.49412829236478994,0.4783943850885738,0.6898417985012489,0.7063953488372093,0.6524910166150827,0.6568414050248573,0.6898417985012489,0.7063953488372093,0.6519194854362224,0.6256670834462138,0.9123360626381695,0.9067007887817704,0.8742124566072247,0.8887585261428269,0.6543540914661075,0.6140325409786488
11,0.4963757582255547,0.4810336625034159,0.6798501248959201,0.7034883720930233,0.6377993518064726,0.6155961053516391,0.6798501248959201,0.7034883720930233,0.6441995345399133,0.6321053003715275,0.9095469847252134,0.9141293602103419,0.8717553722591252,0.8952773560514872,0.6497678850265356,0.6625014015722526
12,0.4871827539623968,0.45849549905820325,0.6902581182348043,0.7238372093023255,0.6720797198986994,0.6069185602359337,0.6902581182348043,0.7238372093023255,0.662871761641792,0.6435367971206285,0.9130230597324488,0.9168107345322223,0.8755388463781771,0.9018917785554206,0.639038110342147,0.6648463746869464
13,0.46979110692905274,0.4857655790719119,0.708992506244796,0.688953488372093,0.6765319107420176,0.6197042101563741,0.708992506244796,0.688953488372093,0.6694521766212959,0.6387992854008652,0.9170562331604364,0.9124338810060018,0.8831634282786851,0.9015958293133323,0.6871094526086772,0.6746755723223765
14,0.5561533021611094,2.3019338060509074,0.7002497918401333,0.2005813953488372,0.6644565946276104,0.5041709563230711,0.7002497918401333,0.2005813953488372,0.6670603125718264,0.23459049928057682,0.9156588645814612,0.8128245398773007,0.8773561154339241,0.744896882651555,0.6676769468154806,0.37525068026927844
15,0.5435693655286403,0.4327502718025988,0.6765195670274771,0.7354651162790697,0.6450687812857784,0.6949841583924895,0.6765195670274771,0.7354651162790697,0.6529428860203169,0.6898186080439749,0.9103565132817341,0.9230957004160889,0.8659349487230364,0.9024166670753745,0.6410274812348948,0.6070244601738195
16,0.45990532794535555,0.4789714698087085,0.704412989175687,0.6976744186046512,0.6757991467631069,0.6187929258241758,0.704412989175687,0.6976744186046512,0.6710859077202119,0.628431208337303,0.9165307796681006,0.9132150744960562,0.8859353492120999,0.8956001025226008,0.6754301771454363,0.6527619785741965
17,0.4713153407865802,0.4992283582687378,0.7164862614487927,0.5697674418604651,0.6972972726425126,0.585854582378898,0.7164862614487927,0.5697674418604651,0.6778462130203424,0.5340810819748321,0.9192358848104496,0.889564685709604,0.8845780613601518,0.8994714989222472,0.6967544630986858,0.6157616076524888
18,0.45708034754983634,0.461400107903914,0.6956702747710242,0.7238372093023255,0.6759826023869808,0.6050708975280579,0.6956702747710242,0.7238372093023255,0.6670863066141821,0.6430026850287991,0.9148282093028051,0.9164535395908319,0.8856534733424605,0.8879012010050946,0.6708332201904783,0.6654788062310358
19,0.4532378266769036,0.502202529121529,0.701082431307244,0.7180232558139535,0.675208532350483,0.6175069185286234,0.701082431307244,0.7180232558139535,0.6681006176504556,0.663594778411584,0.9157864348536584,0.9138122111226202,0.8884099581766909,0.8950965871579605,0.6813588461851023,0.5928178214225324
20,0.4727834270687293,0.496268476952206,0.7019150707743547,0.7122093023255814,0.6715117394926305,0.6414715727728724,0.7019150707743547,0.7122093023255814,0.672345303521969,0.6630207145399545,0.9166145705997584,0.9122723098173691,0.8836455619923652,0.8894937038442552,0.6866003780767274,0.5384110225679755
21,0.46664050912225485,0.42071592807769775,0.7035803497085762,0.7296511627906976,0.6719218443692911,0.6254976228663077,0.7035803497085762,0.7296511627906976,0.6716029440960485,0.6520803972219102,0.9165696721427711,0.9213293602103418,0.8898971958510355,0.9028452732363937,0.6729046105340556,0.7024073821424585
22,0.4533869011315289,0.46477254005995666,0.7031640299750208,0.7267441860465116,0.6887220275419659,0.6077313446008561,0.7031640299750208,0.7267441860465116,0.6745290792889638,0.6449970642958561,0.9171072336532674,0.9174436459246275,0.8875098445137409,0.9024529596176322,0.6930646321749145,0.6664286066098606
23,0.4540415908031116,0.5042159692807631,0.6998334721065779,0.7209302325581395,0.6711070919494898,0.5939988968448133,0.6998334721065779,0.7209302325581395,0.671313136966265,0.636888954644862,0.9162219387879699,0.9134436459246276,0.8885882324323933,0.8932553423584335,0.6694565994804886,0.6514168156547722
24,0.4565559252109749,0.4922777211124247,0.7094088259783514,0.7034883720930233,0.6842163124786629,0.6249339141962689,0.7094088259783514,0.7034883720930233,0.6775918547728924,0.6344042061460258,0.918612089005674,0.9155007887817703,0.8873672769418325,0.9057602286923725,0.6865351884281099,0.7000637523907147
25,0.44843803829704687,0.44083003902977164,0.6998334721065779,0.7093023255813954,0.6648053558590171,0.6514848776097513,0.6998334721065779,0.7093023255813954,0.6679811606047054,0.6673622269203665,0.9158024907726297,0.9189107807643075,0.891428283941371,0.8994258459334741,0.6757861157397602,0.6652126499454744
26,0.4542054015871705,0.43829275193539535,0.7131557035803497,0.7151162790697675,0.6902282588151075,0.643488834698018,0.7131557035803497,0.7151162790697675,0.6794948165970377,0.6591400297222124,0.9201979241175614,0.9161576057632098,0.893232906379526,0.9020318292548037,0.6814350112575932,0.65639524477624
27,0.44118541373026293,0.4547713270241564,0.7077435470441299,0.7296511627906976,0.6779347997733839,0.6744486157747103,0.7077435470441299,0.7296511627906976,0.6760323586209334,0.6888172047574123,0.9180695285875524,0.9235899242417795,0.8940150205734165,0.903077858274878,0.6828717413985443,0.5847069125373441
28,0.4581000433235571,0.4455487287857316,0.7019150707743547,0.6918604651162791,0.6620683327995126,0.6843776798876003,0.7019150707743547,0.6918604651162791,0.668940885413608,0.6746879608706825,0.9164714834363981,0.9195370417590581,0.8905936628356809,0.8976087187137125,0.6753511301880852,0.6031554839256934
29,0.46346365107803156,0.44721482965079223,0.6965029142381349,0.7238372093023255,0.668019624562671,0.582025779963973,0.6965029142381349,0.7238372093023255,0.6664653672118126,0.6405213813234549,0.9154996365364967,0.9169778231398175,0.8910555673792767,0.8977337063805656,0.6584950057362884,0.6698235276250646
30,0.45728533976520136,0.4522840062325651,0.7110741049125728,0.7122093023255814,0.6874912919042874,0.6048886087958315,0.7110741049125728,0.7122093023255814,0.6834249468731445,0.638203655750358,0.9197871032827581,0.9122132661777922,0.8905924947859201,0.9041862117364903,0.6908800903605418,0.6364076215929775
31,0.4453831182805118,0.48194907199252734,0.7064945878434638,0.7151162790697675,0.6820035201111049,0.5690682275588916,0.7064945878434638,0.7151162790697675,0.6806972117247212,0.6295595596773688,0.9185744036997189,0.9126857142857142,0.8918972912480332,0.8831240629105548,0.6841541849536965,0.6460992820157931
