model,experiment,name,best_epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_specificity,test_roc_auc,test_qwk
DualExpertFusion,Exp2,SMOTE-like + Rotation + DualExpert (CE),,1.6709860790652864,0.771117166212534,0.5421522003975463,0.5195160231473113,0.5254543275944992,0.9406336344155969,0.8854310749494136,0.8188516351365904
DualExpertFusion,Exp4,Class-Weight + Rotation + DualExpert (CE),,2.124144736037917,0.7874659400544959,0.5936136100895827,0.569367320795643,0.5776246723369223,0.9455733317358549,0.8975981486084464,0.830328247803976
DualExpertFusion,Exp5,Rotation + DualExpert + Focal Loss,,0.6717965636168903,0.7384196185286104,0.5247367298173751,0.509063094498977,0.5141843045230764,0.9323764602837391,0.8784930202425102,0.7938703617226857
DualExpertFusion,Exp7,CLAHE + SMOTE-like + Rotation + DualExpert,,1.0028192392811788,0.8010899182561307,0.621148288364277,0.5886247887899531,0.5964555971689981,0.9472300387803771,0.8830158294890638,0.8732548036207257
