Model,Accuracy_mean,Accuracy_std,Precision_Macro_mean,Precision_Macro_std,Recall_Macro_mean,Recall_Macro_std,F1_Macro_mean,F1_Macro_std,Precision_Weighted_mean,Precision_Weighted_std,Recall_Weighted_mean,Recall_Weighted_std,F1_Weighted_mean,F1_Weighted_std,Specificity_mean,Specificity_std,ROC_AUC_mean,ROC_AUC_std,QWK_mean,QWK_std,Best_Val_QWK_mean,Best_Val_QWK_std,Trainable_Params_mean,Trainable_Params_std,Total_Params_mean,Total_Params_std,Ms_Per_Image_mean,Ms_Per_Image_std
TS_LiteCNNViT_BiGRU_OrdinalDistill,0.8446866485013624,,0.7235358698356801,,0.6660193645229994,,0.6803629309724587,,0.8357368841937811,,0.8446866485013624,,0.8350990494335874,,0.9585578524181232,,0.9580649125041504,,0.9123138542806999,,0.8901784586193673,,523942.0,,114699347.0,,5.419619401729074,
TS_LiteCNNViT_ConflictBrake,0.8528610354223434,,0.7395271395271396,,0.6869902574863319,,0.7021650894189778,,0.8482671733352931,,0.8528610354223434,,0.8467015261432317,,0.9617836588697362,,0.9583423300052074,,0.9116784807911088,,0.8918074105746402,,524134.0,,114699539.0,,5.41962005137098,
TS_LiteCNNViT_BaseResidual,0.8501362397820164,,0.7380781675863644,,0.6849902574863319,,0.7005204357139728,,0.8451201734714486,,0.8501362397820164,,0.8438695449035387,,0.9607083900525317,,0.9588955094482743,,0.9085044219145009,,0.8859058000997511,,524134.0,,114699539.0,,5.403269214266327,
TS_EfficientNetB0_Residual,0.8446866485013624,,0.7271687370600415,,0.6622355807392155,,0.6790077963352712,,0.8373789214773694,,0.8446866485013624,,0.8362578689200625,,0.9593093290177052,,0.9578568916318333,,0.9070946437892464,,0.8795800065623974,,4014434.0,,118189839.0,,5.782013043395829,
