split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.09309310187178974,0.9733697507681802,0.9740533964272464,0.9738385908997909,0.9738271876051202,0.9735846586802286,0.9733697507681802,0.9733542574671916,0.993309983167068,0.9991847998404569,0.9880783736855113
val,1.521115728729669,0.7950819672131147,0.6539007424435601,0.6071425908667288,0.6031365298492132,0.7870670475719271,0.7950819672131147,0.7831612085844819,0.9455176862802622,0.903141991144933,0.8542472746032392
test,1.2108602332336986,0.8256130790190735,0.6600261041640352,0.6198056265046669,0.6314516475901065,0.8119269895648737,0.8256130790190735,0.8150760824220925,0.9547319394693741,0.9282761241717937,0.8955800349940968
