epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1_score,val_f1_score,train_specificity,val_specificity,train_roc_auc,val_roc_auc,train_qwk,val_qwk
1,17.934769797798815,2.1406491669741543,0.34388009991673607,0.48546511627906974,0.3772180780464914,0.4524695256092504,0.34388009991673607,0.48546511627906974,0.3584301957931872,0.44569422815276827,0.8126912925307173,0.8798155515370706,0.5445077916180173,0.8216576487296814,0.06579349710989657,0.49661866816724787
2,3.026505062911684,1.4398708316412838,0.4184013322231474,0.6627906976744186,0.4216956332017594,0.6438307493540052,0.4184013322231474,0.6627906976744186,0.4199831474927205,0.6045191525707034,0.8300972213931518,0.9051254972875226,0.6247069613793415,0.8734193149337147,0.1760610207236325,0.5995760505308558
3,1.918420717810953,1.8991760340603916,0.4475437135720233,0.47093023255813954,0.4443449915856901,0.47775919556551283,0.4475437135720233,0.47093023255813954,0.44584531542806266,0.4467773602789344,0.8385151998833121,0.881240506329114,0.6533351424669633,0.8311433127106345,0.20552412066337378,0.4819426549489433
4,1.4489615532440066,1.074608328667554,0.4421315570358035,0.5348837209302325,0.42647407908494,0.7296183873291837,0.4421315570358035,0.5348837209302325,0.4333649043258918,0.5397078057020404,0.8325621362595454,0.892393622808585,0.6173771932388282,0.8833589711793413,0.19131428618104307,0.43228886547656764
5,1.1677288703176358,0.9079663428393278,0.5187343880099917,0.6918604651162791,0.4778004798847729,0.6249660660265897,0.5187343880099917,0.6918604651162791,0.4937708632542573,0.651919870009922,0.8532426236818745,0.9120835876098011,0.6983848609501498,0.8887894660569777,0.2846584624506232,0.5873943239635526
6,1.044995627557205,0.8808859938924963,0.5524562864279767,0.7063953488372093,0.5182221550727352,0.638259231588485,0.5524562864279766,0.7063953488372093,0.5194837953619379,0.6561703394013296,0.8610679964956564,0.909759133673125,0.7195738287619338,0.8916959704020524,0.34416664154247745,0.5259101914894962
7,1.0176475671742926,0.8676977455615997,0.5228975853455454,0.6656976744186046,0.47760066149543934,0.6726827609220186,0.5228975853455454,0.6656976744186046,0.488686993495198,0.6113458154834761,0.8499198325922844,0.9042249681622604,0.6910346721620594,0.8833450382040976,0.29123028269880635,0.6122491388701724
8,0.9615977061357325,0.8670486022125591,0.5391340549542049,0.6656976744186046,0.48688460496989816,0.6191475070472163,0.5391340549542049,0.6656976744186046,0.49478938615834483,0.6056149218275291,0.8542697998372857,0.9057865030674848,0.7058856555769477,0.8881669357626156,0.3194868022274441,0.6409299040074675
9,0.9360123183948315,0.8886354254050688,0.5845129059117402,0.7238372093023255,0.5383728435624284,0.6149558508573574,0.5845129059117402,0.7238372093023255,0.5441668564746319,0.645509690182508,0.8711915206365844,0.9183579316389132,0.7542291935817564,0.8974744298529687,0.4156725695489102,0.6862167911739969
10,0.9425333892272798,0.8222945955666628,0.5283097418817652,0.6802325581395349,0.47093419437658485,0.620173114340615,0.5283097418817652,0.6802325581395349,0.4880311139367779,0.6168958460832314,0.8526274818158498,0.9094436459246275,0.6975387667217863,0.8956593570036422,0.30688772319092805,0.6639612021308674
11,0.9169989798637416,0.8715400722893801,0.5636969192339717,0.6715116279069767,0.5254382546879176,0.6828987868097055,0.5636969192339717,0.6715116279069767,0.5191695632062492,0.6557186056461424,0.8630405416191314,0.9156417041770547,0.7231216028436711,0.8909054356918701,0.37854158817040084,0.5593065325281436
12,0.9055665733403717,0.8263362578370355,0.5599500416319734,0.7151162790697675,0.5144157902332116,0.6850041045560572,0.5599500416319734,0.7151162790697675,0.5244205055708651,0.6378379349602739,0.8628476252434535,0.9101293602103417,0.7256024426299087,0.901420988436194,0.3477135301591524,0.6286937377690802
13,0.9439376966645386,0.7893532920967449,0.5549542048293089,0.7325581395348837,0.5099827283895385,0.6646814611406864,0.5549542048293089,0.7325581395348837,0.5131391568968341,0.6845482099409409,0.8609788862763305,0.92198326682153,0.7241811870406177,0.8963912062403796,0.35064176879074804,0.6483749455791327
14,0.9164469390120727,0.8659213496880098,0.5403830141548709,0.7151162790697675,0.499896958590372,0.6196787611745619,0.5403830141548709,0.7151162790697675,0.5089295769630243,0.6410824473201939,0.8580080181748588,0.9173293602103418,0.7122639452679723,0.899321177415001,0.3252959542958077,0.6931893047596555
15,0.9221644510101799,0.7998757714574988,0.5620316402997502,0.7122093023255814,0.5016698790528995,0.6409728267628404,0.5620316402997502,0.7122093023255814,0.5240160735953339,0.6627479419232079,0.8644164583319721,0.9126151669602262,0.7327174646950081,0.8978490428336249,0.36061366456468213,0.5492719396840231
16,0.9127993082491964,0.9082983217456124,0.5570358034970858,0.7151162790697675,0.5077267179334064,0.5870111365869637,0.5570358034970858,0.7151162790697675,0.5178877828038628,0.6308870985832443,0.861744397157646,0.9108150744960561,0.7248165700735185,0.8990445734793433,0.3500547862952035,0.6351699940095602
17,0.8996333801588475,0.8777399550784718,0.5424646128226478,0.7151162790697675,0.5041471521431343,0.5907385931435333,0.5424646128226478,0.7151162790697675,0.5066213558127588,0.6324028352978656,0.858389109775479,0.9118436459246275,0.7195077137685519,0.9002258271624266,0.3436159835131427,0.6554394305108004
18,0.9235609248773942,0.7957347577268427,0.5316402997502082,0.7354651162790697,0.5020527416440134,0.6728085512686254,0.5316402997502082,0.7354651162790697,0.49776920763257354,0.6917395541762505,0.8545950154857174,0.9245008812459405,0.7057883584494865,0.8997142215615491,0.3419721703096158,0.6190123582882239
19,0.8947939995108851,0.7930860966444016,0.5349708576186512,0.7238372093023255,0.5102108387779705,0.6046128074053606,0.5349708576186512,0.7238372093023255,0.5017244362705854,0.6422611692839176,0.8549520909649878,0.9163007887817705,0.6904000183654205,0.9023496538894986,0.31734169868606377,0.6623798565046704
20,0.9073353307136637,0.8221295828169043,0.5432972522897586,0.7209302325581395,0.49713338909230315,0.5967738146921796,0.5432972522897586,0.7209302325581395,0.5090154603281847,0.6379284387212505,0.8591327069260075,0.9141293602103419,0.7110992240251836,0.8996461544587051,0.32162602191210454,0.6508395991512015
21,0.9178724506043441,0.7937800017270175,0.5557868442964197,0.7296511627906976,0.5231550147681345,0.6746028674922226,0.5557868442964197,0.7296511627906976,0.5267649848835324,0.678318609283029,0.8636437279071509,0.9215227952542623,0.7348186960256736,0.9033616685353802,0.3688800127510281,0.6805321118187808
22,0.887653508229761,0.806612570177425,0.5537052456286428,0.688953488372093,0.543516255092824,0.656745807889207,0.5537052456286428,0.688953488372093,0.5191887126128873,0.6589404836845584,0.8613282205583778,0.9106855684771068,0.7227492541543313,0.903285348795654,0.36498344999756316,0.6103262803206295
23,0.908643952910079,0.8374672355976972,0.5732722731057452,0.7151162790697675,0.5333220500518814,0.6385021811410275,0.5732722731057452,0.7151162790697675,0.5360609963548288,0.6625033999728002,0.866997091220013,0.9106316255825101,0.7406646791970177,0.9029572378102982,0.3634663298824439,0.5433580664349895
24,0.9116213198825224,0.8569362000985579,0.5487094088259784,0.7122093023255814,0.509686692032081,0.6362369171431677,0.5487094088259784,0.7122093023255814,0.5128453824267473,0.6605416795375314,0.8587320963286466,0.9117360176305915,0.697202111411459,0.9006251293730603,0.3380911123785839,0.5863546122387628
25,0.8948926067115456,0.8178331797773187,0.5766028309741882,0.7238372093023255,0.553611962330124,0.6523296608430482,0.5766028309741882,0.7238372093023255,0.5422561957884743,0.6753040392252472,0.8699844604452691,0.9170712002473275,0.7437318824565814,0.9047947499712261,0.39243952963248563,0.5868703660394294
