Model,Accuracy,F1_Macro,QWK,ROC_AUC,Specificity
Improved_Anchored_SpectralNorm,0.8446866485013624,0.6888378048617257,0.906792740344228,0.9564430235889936,0.960059430042109
Improved_Anchored_FiLM,0.8283378746594006,0.6514904614493081,0.8957927906090931,0.9518683110382791,0.9551984866962547
Improved_Anchored_Prototype,0.8392370572207084,0.6562894659685611,0.8857743617766901,0.9493284756269621,0.9579226996203497
Improved_Anchored_Deformable,0.670299727520436,0.4592458299460594,0.6501199377905087,0.9080478991772248,0.9187393990429994
Baseline_HybridCNNViT_Gate_Improved,0.6321525885558583,0.4356629609813131,0.6397444562453736,0.9041061156087872,0.9121814651326193
