epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1_score,val_f1_score,train_specificity,val_specificity,train_roc_auc,val_roc_auc,train_qwk,val_qwk
1,15.820820499334904,4.857748638499867,0.3767693588676103,0.4883720930232558,0.3796371683908041,0.4583524762027729,0.3767693588676103,0.4883720930232558,0.378173405709618,0.44992858019755333,0.8148464908542474,0.8814683544303797,0.5482175275001515,0.8175395334265667,0.07005109512585073,0.5119119179289893
2,3.3743048118344903,5.592082597992637,0.5528726061615321,0.42151162790697677,0.546632804235185,0.49339111808844655,0.5528726061615321,0.42151162790697677,0.5496072514470611,0.4114929367384182,0.8750605290083413,0.8697105871474804,0.7706208119169152,0.8676937804902611,0.4197877268031964,0.333630332055178
3,2.4507525413241606,1.882282097231258,0.5886761032472939,0.7005813953488372,0.5821219435081495,0.5452031406965291,0.5886761032472939,0.7005813953488372,0.5853286000427599,0.6121487570168405,0.8878080721666711,0.9045714285714286,0.8139234835697459,0.897715240063081,0.5111312897266493,0.6068679837246924
4,1.8348621377684422,1.1421204818920656,0.6219816819317235,0.6831395348837209,0.6114238135199958,0.5920049198047974,0.6219816819317235,0.6831395348837209,0.616487474123287,0.6142767759266378,0.8975592416955778,0.9097142857142856,0.8383313167797068,0.891059532721151,0.5525356519051354,0.6733875037852024
5,1.3432299159220513,1.2016315189274875,0.6440466278101582,0.6046511627906976,0.6225775035886888,0.6270660206115247,0.6440466278101582,0.6046511627906976,0.6323283377601268,0.5376168058837347,0.9029005230219456,0.8921709018767885,0.8565415152346909,0.8977820212443975,0.5905639722486324,0.5686913704079424
6,1.0895726824833067,0.935236006975174,0.6669442131557036,0.6802325581395349,0.6423070129743381,0.6148146100157286,0.6669442131557036,0.6802325581395349,0.6530466901468602,0.6314900073538738,0.9099219789503294,0.9062998641400691,0.8672256189055854,0.9005768542605589,0.6388726012630048,0.4749076703167344
7,0.9881413292805881,0.7781995548443361,0.6681931723563697,0.7441860465116279,0.6430744681603668,0.685551209867823,0.6681931723563697,0.7441860465116279,0.6495743989498386,0.7006016898373983,0.9086519366167449,0.9279031062381865,0.8694407295580278,0.9070647371193795,0.6046060117046422,0.677870123973717
8,0.8387178338027947,0.8413705473596399,0.7006661115736886,0.7034883720930233,0.6669466679474978,0.6822512919896642,0.7006661115736886,0.7034883720930233,0.6739247575195986,0.6632626637503392,0.9163157270939516,0.9167227952542623,0.8896630495128717,0.8991583716302021,0.662358332231958,0.6709713501283778
9,0.8180320606326426,0.8148645785721865,0.7102414654454621,0.6802325581395349,0.675501355291917,0.5995433140781978,0.7102414654454621,0.6802325581395349,0.6815704952377721,0.6356892424560846,0.9192133491836871,0.9122147128324032,0.8933455890212006,0.9016012012669763,0.670934954289109,0.6377300686915105
10,0.8100703856013468,0.8160664615305987,0.7194004995836802,0.7267441860465116,0.6831495602582246,0.6333841026195668,0.7194004995836802,0.7267441860465116,0.6801942162091134,0.6762049247056208,0.9199887990257152,0.9191679177692877,0.8921911861733947,0.9056734785942389,0.6968495991836962,0.5866755054690089
