split,loss,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,specificity,roc_auc,qwk
train,0.1169866212847961,0.9757596449300102,0.9760610244615598,0.9756519808383306,0.9756159044427637,0.9760552324236721,0.9757596449300102,0.9756685660247787,0.9939391981752566,0.9983023868001876,0.9902165295856655
val,1.73236840460839,0.8087431693989071,0.6730540293040294,0.6265877601739671,0.6428727160735608,0.8017421160351488,0.8087431693989071,0.80264915362972,0.9497399441709611,0.9180658260498393,0.8564601761886842
test,1.3902303819353872,0.8310626702997275,0.6839339135569229,0.6458911583872329,0.6585679563038802,0.8258546763916212,0.8310626702997275,0.8244759498908315,0.9567154443990775,0.9294354696205167,0.9228375593961566
