epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1_score,val_f1_score,train_specificity,val_specificity,train_roc_auc,val_roc_auc,train_qwk,val_qwk
1,0.9475359316693236,0.8476689728823575,0.6586178184845962,0.6773255813953488,0.5778875193775117,0.5877665456153828,0.6586178184845962,0.6773255813953488,0.6029883225301668,0.6218340691622636,0.894151648139682,0.9000891354600092,0.8456089593344379,0.884199012068608,0.5221908480757229,0.4650775277611713
2,0.8461181197734858,0.8159916753118689,0.6885928393005828,0.6947674418604651,0.6712141907189967,0.5941457903011637,0.6885928393005828,0.6947674418604651,0.6314351087486748,0.6395873231456642,0.9049386103113939,0.9056088765603327,0.8769981840836357,0.8950126233100417,0.5913604969185169,0.5309653513783069
3,0.8432482034954804,0.8416406999934803,0.7031640299750208,0.688953488372093,0.6745606107805664,0.6339255406738954,0.7031640299750208,0.688953488372093,0.6423419865381925,0.6454728993428918,0.909657634496561,0.9116231160425337,0.8815408015764883,0.8952864692531062,0.6335981666545085,0.6546471848323048
4,0.8116541773278192,0.8368833092125979,0.712323064113239,0.6976744186046512,0.6240768474422341,0.6060308047434294,0.712323064113239,0.6976744186046512,0.6552964882660669,0.6484849543906488,0.9139520209879081,0.9102583448913546,0.8904555422700966,0.8886294697763699,0.643781150466324,0.5730294057586277
5,0.8105737651815478,0.7955482209270651,0.7085761865112407,0.7238372093023255,0.6150898554283298,0.6244851279434279,0.7085761865112407,0.7238372093023255,0.6514238629109412,0.6698456126636702,0.9133935158031473,0.9164638002773925,0.8894524165434992,0.8959607512032046,0.6490644535245718,0.573295530058034
6,0.807858453483771,0.8082021488384767,0.7110741049125728,0.7063953488372093,0.624758773071052,0.6023232254083859,0.7110741049125728,0.7063953488372093,0.6528812170645446,0.6488450791257306,0.9139818823199288,0.9086154415164124,0.8927019483664206,0.8992411184320142,0.6550705967925041,0.5727485431473036
7,0.7937499490005291,0.7897394516251304,0.7152373022481265,0.7122093023255814,0.627026484643511,0.6078038259564891,0.7152373022481265,0.7122093023255814,0.6584356199363218,0.6508015071907416,0.9148871529152339,0.9108231160425335,0.8944723959249674,0.9011595012424607,0.659675820012809,0.5799690216848206
8,0.7932403030379719,0.8290533734993502,0.7073272273105745,0.7209302325581395,0.6639915531716973,0.6803635191509115,0.7073272273105745,0.7209302325581395,0.6498081892966785,0.64018211363138,0.9123022213714205,0.9156571428571428,0.8938316726517329,0.8964883455618693,0.640594995918139,0.641232889468293
9,0.7704145478097019,0.8176496922969818,0.723563696919234,0.7209302325581395,0.6349699358168505,0.6302667727742748,0.723563696919234,0.7209302325581395,0.6660053620150149,0.6712422206391281,0.9176036120352083,0.9183693018955156,0.9012198965475364,0.8931440378147966,0.6618655583727191,0.6184040240473807
10,0.7649652813838808,0.7885871014811776,0.7210657785179018,0.7209302325581395,0.6622834522647781,0.6625001979555154,0.7210657785179018,0.7209302325581395,0.667039447352613,0.6716555186429117,0.9177726183169905,0.9185524762528754,0.9034611161343944,0.8979864421791512,0.6773333316078035,0.6277501305466602
11,0.7641128601617371,0.7866076163270257,0.7298084929225646,0.7238372093023255,0.6708265682091558,0.6290963467912695,0.7298084929225646,0.7238372093023255,0.6778912807699589,0.6633180099555767,0.9213387162986303,0.9168370809685481,0.9036028034725211,0.9040524069887853,0.6812849104573564,0.634935795394248
12,0.750811977102267,0.8472732224247672,0.7298084929225646,0.7151162790697675,0.6741378128998285,0.6153752153316107,0.7298084929225646,0.7151162790697675,0.677875828139919,0.6612361604850219,0.921240400472658,0.9136799843434902,0.9047081396746922,0.8781949417851046,0.6904621962790437,0.5631656562346388
13,0.7612897704373922,0.8059247339313681,0.7343880099916736,0.7267441860465116,0.6786425397777505,0.6523217814257486,0.7343880099916736,0.7267441860465116,0.6879303469791391,0.6687777730307328,0.9235875109338914,0.9137129015880581,0.9070487630750783,0.9040034344250305,0.6993916751881741,0.5967785832694164
14,0.7412936166422257,0.7632291709834879,0.7289758534554538,0.7122093023255814,0.6740921521312621,0.6290695175942674,0.7289758534554538,0.7122093023255814,0.6790197773008496,0.6656732109443617,0.9210925434886338,0.9174934812760055,0.9065622999170564,0.9037912025697735,0.6893888381806441,0.6214871063288062
15,0.7300922750242499,0.7639259533448652,0.7373022481265612,0.7267441860465116,0.6809306818569091,0.6903470390793576,0.7373022481265612,0.7267441860465116,0.6871811456139174,0.6816990422754303,0.9241243263161166,0.9205836338418862,0.9095416866968722,0.9091683906387263,0.7049220903531404,0.5788377742644507
16,0.7104998839809405,0.7974210882728751,0.7439633638634471,0.7238372093023255,0.6858950391485076,0.6782608174455088,0.7439633638634471,0.7238372093023255,0.6996802895914748,0.6747745870471351,0.9261011586943318,0.9170000924641701,0.9132348544091762,0.9040186122992605,0.7211521158135765,0.5931867167680775
17,0.7098219771653611,0.7973634492267262,0.7510407993338885,0.7296511627906976,0.6949812888925558,0.6268565043787342,0.7510407993338885,0.7296511627906976,0.7083159516080733,0.6738829806394431,0.9285621021495569,0.9153582986592695,0.9178845065373088,0.9169129015641784,0.7196121125255986,0.590734662963898
18,0.7051413643439084,0.6948642026294362,0.7485428809325562,0.7645348837209303,0.6907335425487335,0.693841568112152,0.7485428809325562,0.7645348837209303,0.7044407859093293,0.7131441767593432,0.9274928211873952,0.9302096191100182,0.9157807294008653,0.9223191793450171,0.7265762702544292,0.6732979024497625
19,0.6713178751879181,0.6561592085794969,0.7585345545378851,0.7616279069767442,0.6985819443847934,0.7109320323239612,0.7585345545378851,0.7616279069767442,0.7140391351896498,0.7214746391034494,0.9311171146154681,0.9298220353742768,0.9244885638180365,0.9314495682879055,0.7359802536101168,0.7094210304815728
20,0.6631572218920221,0.6535722396590493,0.7564529558701082,0.7674418604651163,0.7115833009021244,0.7039169420270383,0.7564529558701082,0.7674418604651163,0.7174585271872504,0.7201293409432945,0.9307605988703876,0.9318854397295281,0.9274616696372219,0.9278302483107606,0.7546300239330217,0.6942444677809128
21,0.6560041041958411,0.7062079066579993,0.7601998334721066,0.7383720930232558,0.7258998819109737,0.657090868034384,0.7601998334721066,0.7383720930232558,0.7174409127165796,0.6889098238582904,0.9317388217146203,0.9208741619370959,0.927321535807575,0.9294368967398956,0.7515472510764732,0.631929714465014
22,0.6417991487395684,0.6560542895035311,0.7585345545378851,0.7674418604651163,0.7322191568611225,0.6991686835967443,0.7585345545378851,0.7674418604651163,0.7233242458729794,0.7199558969981505,0.9318622366158132,0.9316438393619405,0.9307868096464699,0.9348672694716922,0.7527315216505217,0.72632578677636
